expense,category,amount,currency,date
bought furniture for family,Home & Rent,2521,PKR,2026-03-26
bought snacks this week,Food & Groceries,12085,PKR,2026-07-07
booked flight today,Travel,13761,PKR,2026-07-25
bought furniture this week,Home & Rent,15558,PKR,2026-07-10
paid utility bill for family,Utilities,12997,PKR,2026-01-24
paid streaming subscription today,Entertainment,4133,PKR,2026-07-17
watched a movie,Entertainment,14164,PKR,2026-02-23
car maintenance yesterday,Transportation,4768,PKR,2026-06-15
paid apartment rent,Home & Rent,79262,PKR,2026-05-06
played games this week,Entertainment,11422,PKR,2026-06-04
paid rickshaw fare online,Transportation,1674,PKR,2026-08-02
paid medical bill today,Healthcare,32387,PKR,2026-04-25
went to amusement park this week,Entertainment,9425,PKR,2026-06-03
watched a movie yesterday,Entertainment,13487,PKR,2026-04-05
booked flight yesterday,Travel,112677,PKR,2026-01-24
restaurant dinner yesterday,Food & Groceries,11182,PKR,2026-02-27
bought cleaning supplies online,Home & Rent,41650,PKR,2026-05-07
bought personal care items online,Personal Care,8796,PKR,2026-01-22
paid exam fee yesterday,Education,10878,PKR,2026-07-25
paid bank charges today,Bills & Payments,17249,PKR,2026-06-25
paid school fee for family,Education,56563,PKR,2026-03-17
booked hotel for family,Travel,21062,PKR,2026-01-12
haircut for family,Personal Care,7161,PKR,2026-04-16
paid internet bill online,Utilities,19127,PKR,2026-07-28
paid course fee this week,Education,77251,PKR,2026-01-21
haircut,Personal Care,12332,PKR,2026-06-19
paid loan installment today,Bills & Payments,52005,PKR,2026-01-12
paid internet bill online,Utilities,10253,PKR,2026-03-22
paid hotel bill yesterday,Travel,118951,PKR,2026-06-09
paid course fee today,Education,28165,PKR,2026-02-17
paid mobile bill for family,Utilities,8997,PKR,2026-08-12
paid house rent yesterday,Home & Rent,141083,PKR,2026-01-05
pizza for dinner,Food & Groceries,317,PKR,2026-02-13
bought home appliances yesterday,Home & Rent,107192,PKR,2026-08-11
bought cleaning supplies for family,Home & Rent,128591,PKR,2026-03-19
travel expenses for family,Travel,95562,PKR,2026-06-26
bought cleaning supplies online,Home & Rent,104546,PKR,2026-07-25
bought books today,Education,18209,PKR,2026-01-04
bought clothes,Shopping,23107,PKR,2026-02-18
bought eggs yesterday,Food & Groceries,10727,PKR,2026-02-07
paid apartment rent yesterday,Home & Rent,142186,PKR,2026-02-18
paid water bill yesterday,Utilities,5355,PKR,2026-05-02
watched a movie,Entertainment,2921,PKR,2026-08-20
changed car oil yesterday,Transportation,7824,PKR,2026-01-06
paid service fee today,Bills & Payments,26889,PKR,2026-03-17
travel expenses yesterday,Travel,14348,PKR,2026-03-27
bought fruits online,Food & Groceries,13987,PKR,2026-07-02
went to amusement park yesterday,Entertainment,12276,PKR,2026-05-29
paid hotel bill for family,Travel,77224,PKR,2026-01-10
paid monthly bill yesterday,Bills & Payments,67786,PKR,2026-06-01
miscellaneous purchase online,Other,16087,PKR,2026-03-01
miscellaneous expense for family,Other,723,PKR,2026-04-19
bought train ticket for family,Travel,17648,PKR,2026-03-10
bought home appliances yesterday,Home & Rent,31655,PKR,2026-05-07
paid hotel bill this week,Travel,118525,PKR,2026-06-28
watched a movie today,Entertainment,4918,PKR,2026-07-05
bought accessories this week,Shopping,14656,PKR,2026-03-01
bought shampoo for family,Personal Care,11422,PKR,2026-03-28
travel expenses online,Travel,123805,PKR,2026-02-03
bought educational material yesterday,Education,88725,PKR,2026-06-17
general expense yesterday,Other,5409,PKR,2026-06-09
bought handbag online,Shopping,24851,PKR,2026-01-23
bought home appliances today,Home & Rent,46427,PKR,2026-02-21
changed car oil,Transportation,13100,PKR,2026-04-17
paid bank charges today,Bills & Payments,27950,PKR,2026-05-23
bought groceries this week,Food & Groceries,14532,PKR,2026-03-08
dental checkup today,Healthcare,11750,PKR,2026-07-31
haircut,Personal Care,5733,PKR,2026-04-21
paid utility bill today,Utilities,4454,PKR,2026-05-24
bought accessories this week,Shopping,11451,PKR,2026-07-20
bought prescription medicine,Healthcare,36805,PKR,2026-03-10
filled fuel online,Transportation,926,PKR,2026-04-23
paid credit card bill,Bills & Payments,80528,PKR,2026-06-06
paid utility bill,Utilities,17123,PKR,2026-01-27
filled fuel today,Transportation,6025,PKR,2026-02-10
general expense online,Other,14567,PKR,2026-07-15
visited salon online,Personal Care,14462,PKR,2026-01-26
paid rickshaw fare this week,Transportation,13521,PKR,2026-02-05
paid gas bill yesterday,Utilities,14123,PKR,2026-07-16
bought chicken yesterday,Food & Groceries,5692,PKR,2026-03-15
bought shampoo,Personal Care,4558,PKR,2026-04-06
other payment this week,Other,8142,PKR,2026-02-08
visited salon today,Personal Care,2460,PKR,2026-07-25
went to amusement park yesterday,Entertainment,14913,PKR,2026-04-28
bought personal care items this week,Personal Care,687,PKR,2026-04-24
filled petrol in car online,Transportation,13309,PKR,2026-05-13
paid electricity bill this week,Utilities,10815,PKR,2026-04-13
car maintenance,Transportation,6543,PKR,2026-07-14
bought milk for family,Food & Groceries,1047,PKR,2026-06-11
miscellaneous purchase this week,Other,13839,PKR,2026-04-13
bought cleaning supplies for family,Home & Rent,80776,PKR,2026-07-04
general expense this week,Other,358,PKR,2026-07-31
bought stationery online,Education,53444,PKR,2026-04-25
paid apartment rent for family,Home & Rent,116905,PKR,2026-06-28
bought prescription medicine online,Healthcare,26809,PKR,2026-07-18
bought handbag,Shopping,1511,PKR,2026-05-18
bought vitamins online,Healthcare,47412,PKR,2026-07-09
booked ride today,Transportation,1620,PKR,2026-05-11
bought skincare products for family,Personal Care,5782,PKR,2026-07-13
paid apartment rent,Home & Rent,8311,PKR,2026-08-16
bought perfume this week,Personal Care,4154,PKR,2026-08-02
bought educational material for family,Education,14975,PKR,2026-07-07
restaurant lunch this week,Food & Groceries,10372,PKR,2026-05-10
bought medicine,Healthcare,49881,PKR,2026-06-16
paid internet bill this week,Utilities,19257,PKR,2026-07-08
bought snacks this week,Food & Groceries,3968,PKR,2026-07-26
miscellaneous purchase for family,Other,17574,PKR,2026-08-05
booked flight this week,Travel,79433,PKR,2026-03-14
home repair online,Home & Rent,37692,PKR,2026-07-02
bought concert ticket online,Entertainment,4257,PKR,2026-01-27
paid medical bill for family,Healthcare,12919,PKR,2026-07-30
bought vitamins,Healthcare,9904,PKR,2026-07-02
paid gaming subscription yesterday,Entertainment,1542,PKR,2026-01-24
ordered food today,Food & Groceries,7902,PKR,2026-02-24
paid credit card bill this week,Bills & Payments,89212,PKR,2026-05-15
bought concert ticket for family,Entertainment,8702,PKR,2026-07-19
paid gaming subscription this week,Entertainment,9773,PKR,2026-05-08
bought home appliances yesterday,Home & Rent,129330,PKR,2026-07-07
paid gaming subscription today,Entertainment,2564,PKR,2026-05-10
changed car oil online,Transportation,7599,PKR,2026-02-03
miscellaneous purchase for family,Other,3968,PKR,2026-06-27
bought accessories yesterday,Shopping,1368,PKR,2026-07-11
paid rickshaw fare,Transportation,9956,PKR,2026-08-07
watched a movie,Entertainment,6255,PKR,2026-05-27
paid university fee for family,Education,20593,PKR,2026-01-31
visited hospital this week,Healthcare,20174,PKR,2026-03-17
paid credit card bill today,Bills & Payments,19130,PKR,2026-07-20
paid travel fare,Travel,80996,PKR,2026-08-16
paid school fee today,Education,97448,PKR,2026-05-06
bought fruits for family,Food & Groceries,5812,PKR,2026-01-18
ordered food yesterday,Food & Groceries,9489,PKR,2026-03-21
paid travel fare this week,Travel,99908,PKR,2026-05-02
miscellaneous purchase today,Other,4639,PKR,2026-05-10
bought home appliances yesterday,Home & Rent,118722,PKR,2026-02-08
general expense,Other,13522,PKR,2026-04-10
bought cosmetics this week,Shopping,18027,PKR,2026-01-12
bought home appliances online,Home & Rent,73712,PKR,2026-06-15
paid gas bill online,Utilities,1312,PKR,2026-05-27
home repair online,Home & Rent,81962,PKR,2026-05-24
paid house rent online,Home & Rent,147630,PKR,2026-01-22
online shopping for family,Shopping,19202,PKR,2026-07-13
bought eggs yesterday,Food & Groceries,8335,PKR,2026-08-18
bought fruits online,Food & Groceries,8813,PKR,2026-02-16
bought rice today,Food & Groceries,4118,PKR,2026-08-01
miscellaneous purchase yesterday,Other,2873,PKR,2026-07-26
bought perfume this week,Personal Care,6783,PKR,2026-05-31
bought cooking oil,Food & Groceries,5669,PKR,2026-04-22
car maintenance,Transportation,14184,PKR,2026-05-16
bought vitamins this week,Healthcare,6265,PKR,2026-01-30
paid utility bill today,Utilities,9850,PKR,2026-02-06
booked ride,Transportation,2626,PKR,2026-03-20
played games today,Entertainment,1165,PKR,2026-06-07
paid doctor fee,Healthcare,47046,PKR,2026-01-15
bought educational material,Education,42448,PKR,2026-02-06
paid streaming subscription this week,Entertainment,6352,PKR,2026-07-31
paid electricity bill today,Utilities,8351,PKR,2026-07-12
booked bus ticket today,Travel,130231,PKR,2026-05-11
visited salon,Personal Care,4612,PKR,2026-01-16
bought vitamins for family,Healthcare,26978,PKR,2026-01-17
paid credit card bill yesterday,Bills & Payments,83539,PKR,2026-03-01
bought rice for family,Food & Groceries,9703,PKR,2026-06-22
paid gas bill for family,Utilities,4614,PKR,2026-03-19
paid travel fare yesterday,Travel,22996,PKR,2026-08-05
paid maintenance charges today,Home & Rent,38320,PKR,2026-04-06
bought shampoo today,Personal Care,9006,PKR,2026-04-19
visited salon,Personal Care,216,PKR,2026-07-28
paid service fee this week,Bills & Payments,86097,PKR,2026-02-12
grocery shopping yesterday,Food & Groceries,4577,PKR,2026-06-03
bought educational material this week,Education,83364,PKR,2026-02-24
travel expenses for family,Travel,74744,PKR,2026-01-12
filled fuel this week,Transportation,1569,PKR,2026-04-12
miscellaneous expense today,Other,18334,PKR,2026-03-13
bought movie ticket for family,Entertainment,8470,PKR,2026-07-25
dental checkup this week,Healthcare,41926,PKR,2026-03-08
other payment this week,Other,8158,PKR,2026-06-19
visited hospital today,Healthcare,30433,PKR,2026-06-03
bought medicine online,Healthcare,9063,PKR,2026-06-15
bought cooking oil,Food & Groceries,14869,PKR,2026-01-03
paid apartment rent yesterday,Home & Rent,146697,PKR,2026-08-18
other payment yesterday,Other,17733,PKR,2026-01-21
bought cleaning supplies,Home & Rent,142203,PKR,2026-01-08
bought home appliances online,Home & Rent,33352,PKR,2026-04-01
paid gaming subscription for family,Entertainment,6064,PKR,2026-04-10
filled petrol in car,Transportation,7680,PKR,2026-04-05
bought accessories,Shopping,7558,PKR,2026-07-10
bought rice online,Food & Groceries,11719,PKR,2026-04-02
bought clothes for family,Shopping,20787,PKR,2026-03-19
paid miscellaneous charges today,Other,16281,PKR,2026-04-03
bought rice yesterday,Food & Groceries,14919,PKR,2026-06-30
miscellaneous purchase today,Other,333,PKR,2026-02-20
bought home appliances,Home & Rent,73704,PKR,2026-05-26
visited salon today,Personal Care,9240,PKR,2026-02-19
bought cleaning supplies for family,Home & Rent,149148,PKR,2026-02-14
paid utility bill today,Utilities,2631,PKR,2026-02-02
paid school fee for family,Education,96038,PKR,2026-07-20
paid school fee online,Education,3530,PKR,2026-06-27
paid maintenance charges for family,Home & Rent,67301,PKR,2026-06-24
visited salon,Personal Care,7197,PKR,2026-06-14
bought cleaning supplies,Home & Rent,85672,PKR,2026-04-21
paid streaming subscription,Entertainment,11343,PKR,2026-05-13
paid monthly bill this week,Bills & Payments,68297,PKR,2026-07-14
bought chicken,Food & Groceries,4653,PKR,2026-04-18
visited salon this week,Personal Care,284,PKR,2026-04-11
bought watch,Shopping,29139,PKR,2026-05-27
bought chicken online,Food & Groceries,7043,PKR,2026-01-20
bought trousers today,Shopping,11088,PKR,2026-03-21
paid mobile bill online,Utilities,3669,PKR,2026-01-08
paid monthly bill,Bills & Payments,78164,PKR,2026-07-24
bought furniture this week,Home & Rent,65789,PKR,2026-01-28
paid loan installment this week,Bills & Payments,7634,PKR,2026-07-30
paid medical bill today,Healthcare,5078,PKR,2026-07-18
booked bus ticket yesterday,Travel,26079,PKR,2026-06-10
paid service fee,Bills & Payments,11711,PKR,2026-01-16
pizza for dinner this week,Food & Groceries,14683,PKR,2026-08-06
miscellaneous expense today,Other,2131,PKR,2026-07-25
paid credit card bill this week,Bills & Payments,80550,PKR,2026-06-10
watched a movie,Entertainment,11301,PKR,2026-01-15
haircut this week,Personal Care,14125,PKR,2026-04-08
watched a movie for family,Entertainment,12520,PKR,2026-04-16
online shopping online,Shopping,20747,PKR,2026-01-03
paid monthly bill yesterday,Bills & Payments,56612,PKR,2026-08-14
booked bus ticket,Travel,90028,PKR,2026-06-16
home repair,Home & Rent,120033,PKR,2026-05-13
paid medical bill today,Healthcare,7378,PKR,2026-01-27
bought vegetables for family,Food & Groceries,13033,PKR,2026-08-04
online shopping today,Shopping,21185,PKR,2026-05-11
paid course fee yesterday,Education,63597,PKR,2026-07-05
paid travel fare today,Travel,64740,PKR,2026-02-05
grocery shopping today,Food & Groceries,5206,PKR,2026-05-30
bought concert ticket online,Entertainment,12559,PKR,2026-04-02
bought stationery today,Education,62041,PKR,2026-03-21
bought train ticket this week,Travel,97686,PKR,2026-01-03
bought perfume online,Personal Care,11313,PKR,2026-02-07
bought chicken for family,Food & Groceries,13521,PKR,2026-08-02
haircut yesterday,Personal Care,5833,PKR,2026-02-20
bought trousers,Shopping,11491,PKR,2026-02-18
bought home appliances online,Home & Rent,123526,PKR,2026-06-03
general expense for family,Other,18649,PKR,2026-03-27
bought train ticket yesterday,Travel,87145,PKR,2026-02-11
paid internet bill,Utilities,16750,PKR,2026-02-26
bought chicken online,Food & Groceries,3872,PKR,2026-04-30
booked flight today,Travel,127024,PKR,2026-07-08
bought prescription medicine online,Healthcare,24935,PKR,2026-02-22
bought movie ticket,Entertainment,6144,PKR,2026-01-03
paid water bill,Utilities,18676,PKR,2026-01-30
booked ride yesterday,Transportation,3285,PKR,2026-06-11
travel expenses this week,Travel,12509,PKR,2026-01-08
bought trousers this week,Shopping,6006,PKR,2026-02-26
bought stationery this week,Education,73180,PKR,2026-03-04
paid taxi fare,Transportation,2984,PKR,2026-08-04
bought books,Education,89295,PKR,2026-02-05
played games,Entertainment,5744,PKR,2026-02-23
paid exam fee today,Education,48949,PKR,2026-07-27
dental checkup today,Healthcare,34832,PKR,2026-07-24
paid travel fare online,Travel,18138,PKR,2026-01-31
paid bus fare today,Transportation,3240,PKR,2026-05-17
played games this week,Entertainment,5409,PKR,2026-06-03
played games today,Entertainment,956,PKR,2026-07-15
booked bus ticket today,Travel,141369,PKR,2026-03-17
paid rickshaw fare today,Transportation,972,PKR,2026-06-11
bought stationery for family,Education,77056,PKR,2026-08-15
paid loan installment online,Bills & Payments,11170,PKR,2026-07-20
paid online bill for family,Bills & Payments,9003,PKR,2026-02-12
visited salon online,Personal Care,12506,PKR,2026-05-11
bought vitamins for family,Healthcare,30726,PKR,2026-02-15
dental checkup this week,Healthcare,34737,PKR,2026-06-27
paid online bill yesterday,Bills & Payments,62596,PKR,2026-03-10
paid travel fare online,Travel,10595,PKR,2026-02-23
bought trousers yesterday,Shopping,28584,PKR,2026-03-02
bought movie ticket this week,Entertainment,7163,PKR,2026-08-16
bought concert ticket today,Entertainment,14002,PKR,2026-04-06
bought books today,Education,99016,PKR,2026-01-22
paid exam fee for family,Education,46581,PKR,2026-02-28
booked hotel yesterday,Travel,135286,PKR,2026-06-09
bought vitamins yesterday,Healthcare,30941,PKR,2026-04-21
paid streaming subscription yesterday,Entertainment,5394,PKR,2026-03-11
watched a movie today,Entertainment,7436,PKR,2026-03-01
bought books this week,Education,11302,PKR,2026-03-17
bought perfume for family,Personal Care,10745,PKR,2026-01-21
paid school fee,Education,16043,PKR,2026-01-19
bought medicine for family,Healthcare,13427,PKR,2026-03-27
bought watch this week,Shopping,10219,PKR,2026-07-10
home repair this week,Home & Rent,50975,PKR,2026-06-30
booked flight online,Travel,143377,PKR,2026-03-08
bought flour this week,Food & Groceries,13572,PKR,2026-03-30
went to amusement park for family,Entertainment,12615,PKR,2026-06-17
bought cooking oil online,Food & Groceries,8499,PKR,2026-07-14
car maintenance today,Transportation,3817,PKR,2026-07-05
paid miscellaneous charges yesterday,Other,7758,PKR,2026-05-13
travel expenses for family,Travel,123876,PKR,2026-07-04
paid bank charges,Bills & Payments,41535,PKR,2026-08-05
bought cosmetics online,Shopping,13986,PKR,2026-02-23
paid monthly bill for family,Bills & Payments,4445,PKR,2026-04-06
paid bus fare this week,Transportation,12188,PKR,2026-01-03
paid online bill this week,Bills & Payments,45041,PKR,2026-02-27
went to amusement park online,Entertainment,12531,PKR,2026-04-14
miscellaneous purchase this week,Other,10784,PKR,2026-05-31
grocery shopping today,Food & Groceries,2618,PKR,2026-03-26
paid hotel bill for family,Travel,103468,PKR,2026-04-08
bought cosmetics,Shopping,17814,PKR,2026-04-09
bought accessories,Shopping,11075,PKR,2026-05-26
paid online bill this week,Bills & Payments,12721,PKR,2026-02-13
paid mobile bill for family,Utilities,6320,PKR,2026-01-09
miscellaneous purchase yesterday,Other,979,PKR,2026-02-17
bought clothes yesterday,Shopping,9600,PKR,2026-02-22
bought handbag online,Shopping,17483,PKR,2026-01-18
paid credit card bill this week,Bills & Payments,68464,PKR,2026-01-03
paid rickshaw fare yesterday,Transportation,6507,PKR,2026-02-10
paid gas bill for family,Utilities,14210,PKR,2026-05-03
miscellaneous expense yesterday,Other,6865,PKR,2026-02-03
bought handbag yesterday,Shopping,27100,PKR,2026-07-01
bought home appliances today,Home & Rent,82346,PKR,2026-05-31
bought household items online,Shopping,22740,PKR,2026-04-28
paid school fee,Education,19202,PKR,2026-04-25
paid internet bill for family,Utilities,8588,PKR,2026-05-15
paid medical bill yesterday,Healthcare,30459,PKR,2026-04-29
booked hotel online,Travel,24882,PKR,2026-03-15
bought home appliances this week,Home & Rent,78974,PKR,2026-04-11
travel expenses today,Travel,109803,PKR,2026-03-05
car maintenance yesterday,Transportation,6402,PKR,2026-06-18
filled fuel yesterday,Transportation,11546,PKR,2026-01-12
bought shirt this week,Shopping,29219,PKR,2026-06-10
bought skincare products online,Personal Care,1293,PKR,2026-06-28
paid miscellaneous charges yesterday,Other,13576,PKR,2026-07-15
haircut this week,Personal Care,1453,PKR,2026-07-13
paid utility bill this week,Utilities,13938,PKR,2026-04-26
booked ride today,Transportation,8391,PKR,2026-01-12
paid credit card bill,Bills & Payments,84237,PKR,2026-06-27
bought cleaning supplies yesterday,Home & Rent,100917,PKR,2026-03-29
other payment today,Other,13098,PKR,2026-01-10
bought rice,Food & Groceries,11717,PKR,2026-02-04
dental checkup online,Healthcare,30724,PKR,2026-05-05
paid credit card bill,Bills & Payments,72383,PKR,2026-06-18
bought accessories today,Shopping,15726,PKR,2026-07-30
bought stationery today,Education,2867,PKR,2026-06-05
paid gas bill this week,Utilities,4568,PKR,2026-05-17
other payment today,Other,2642,PKR,2026-06-21
bought rice today,Food & Groceries,7319,PKR,2026-04-02
paid taxi fare online,Transportation,664,PKR,2026-08-17
paid maintenance charges today,Home & Rent,116882,PKR,2026-06-28
bought fruits yesterday,Food & Groceries,11410,PKR,2026-03-20
paid credit card bill for family,Bills & Payments,1111,PKR,2026-01-13
paid gaming subscription today,Entertainment,4291,PKR,2026-04-06
bought trousers,Shopping,825,PKR,2026-04-18
bought groceries this week,Food & Groceries,13543,PKR,2026-02-19
bought cleaning supplies,Home & Rent,58820,PKR,2026-08-14
paid mobile bill today,Utilities,5973,PKR,2026-01-12
bought concert ticket,Entertainment,13563,PKR,2026-03-25
paid medical bill online,Healthcare,12722,PKR,2026-06-09
bought household items yesterday,Shopping,14320,PKR,2026-01-31
bought trousers,Shopping,11984,PKR,2026-03-24
filled petrol in car yesterday,Transportation,10815,PKR,2026-03-22
pizza for dinner today,Food & Groceries,7616,PKR,2026-02-26
paid mobile bill this week,Utilities,12590,PKR,2026-01-12
paid gas bill yesterday,Utilities,10380,PKR,2026-07-16
paid travel fare,Travel,141556,PKR,2026-07-22
booked flight this week,Travel,25836,PKR,2026-06-03
dental checkup online,Healthcare,25765,PKR,2026-06-23
paid miscellaneous charges this week,Other,5845,PKR,2026-06-12
general expense online,Other,15898,PKR,2026-01-18
bought medicine for family,Healthcare,38640,PKR,2026-04-25
bought concert ticket online,Entertainment,12353,PKR,2026-03-01
bought perfume online,Personal Care,417,PKR,2026-03-01
bought fruits this week,Food & Groceries,3973,PKR,2026-07-08
paid gaming subscription today,Entertainment,10354,PKR,2026-01-21
bought milk this week,Food & Groceries,8271,PKR,2026-03-17
bought shirt yesterday,Shopping,6997,PKR,2026-06-14
bought chicken online,Food & Groceries,9898,PKR,2026-04-24
general expense today,Other,9213,PKR,2026-03-23
home repair,Home & Rent,137543,PKR,2026-07-22
played games this week,Entertainment,12497,PKR,2026-01-07
bought watch this week,Shopping,8238,PKR,2026-02-22
haircut online,Personal Care,4268,PKR,2026-07-25
bought cleaning supplies online,Home & Rent,59312,PKR,2026-06-05
bought concert ticket this week,Entertainment,3207,PKR,2026-04-24
paid house rent,Home & Rent,129881,PKR,2026-01-18
bought new shoes online,Shopping,4937,PKR,2026-02-22
filled fuel today,Transportation,9809,PKR,2026-05-21
bought trousers for family,Shopping,2861,PKR,2026-04-20
other payment this week,Other,5479,PKR,2026-07-04
bought trousers yesterday,Shopping,6081,PKR,2026-06-05
bought handbag this week,Shopping,19188,PKR,2026-04-25
paid apartment rent this week,Home & Rent,127136,PKR,2026-01-21
bought vitamins yesterday,Healthcare,11294,PKR,2026-05-01
paid monthly bill for family,Bills & Payments,80374,PKR,2026-07-08
paid gaming subscription today,Entertainment,13628,PKR,2026-07-23
paid credit card bill yesterday,Bills & Payments,56519,PKR,2026-08-07
paid water bill for family,Utilities,18102,PKR,2026-02-09
bought personal care items today,Personal Care,4415,PKR,2026-04-08
paid bank charges yesterday,Bills & Payments,37622,PKR,2026-04-07
bought perfume yesterday,Personal Care,1378,PKR,2026-03-27
changed car oil today,Transportation,2635,PKR,2026-02-18
bought groceries for family,Food & Groceries,12066,PKR,2026-07-05
bought vitamins yesterday,Healthcare,27551,PKR,2026-04-12
general expense yesterday,Other,16141,PKR,2026-03-20
paid maintenance charges,Home & Rent,108161,PKR,2026-08-15
bought fruits yesterday,Food & Groceries,9366,PKR,2026-02-11
bought cosmetics this week,Shopping,25572,PKR,2026-07-12
general expense for family,Other,16111,PKR,2026-06-12
general expense online,Other,1990,PKR,2026-06-16
went to amusement park online,Entertainment,4243,PKR,2026-03-04
paid credit card bill this week,Bills & Payments,83200,PKR,2026-06-30
paid house rent online,Home & Rent,39766,PKR,2026-03-08
paid travel fare online,Travel,39631,PKR,2026-03-07
online shopping for family,Shopping,22012,PKR,2026-08-04
filled petrol in car,Transportation,12731,PKR,2026-01-24
bought cleaning supplies yesterday,Home & Rent,105245,PKR,2026-06-30
booked hotel for family,Travel,50498,PKR,2026-08-13
bought movie ticket yesterday,Entertainment,4343,PKR,2026-06-27
bought educational material for family,Education,40867,PKR,2026-07-07
paid gaming subscription online,Entertainment,14444,PKR,2026-01-23
paid mobile bill for family,Utilities,11785,PKR,2026-07-28
booked ride online,Transportation,3532,PKR,2026-07-11
played games this week,Entertainment,305,PKR,2026-02-13
paid credit card bill,Bills & Payments,9654,PKR,2026-07-18
other payment for family,Other,13759,PKR,2026-06-17
bought educational material today,Education,23621,PKR,2026-04-06
paid bus fare today,Transportation,8070,PKR,2026-02-16
haircut yesterday,Personal Care,9491,PKR,2026-07-28
bought shirt today,Shopping,2232,PKR,2026-07-11
paid taxi fare this week,Transportation,14882,PKR,2026-08-12
went to amusement park online,Entertainment,10430,PKR,2026-01-28
paid apartment rent,Home & Rent,77841,PKR,2026-01-22
watched a movie this week,Entertainment,1252,PKR,2026-03-29
bought chicken yesterday,Food & Groceries,8049,PKR,2026-06-22
paid electricity bill,Utilities,9218,PKR,2026-07-12
grocery shopping,Food & Groceries,3558,PKR,2026-05-14
pizza for dinner for family,Food & Groceries,8620,PKR,2026-07-14
paid exam fee yesterday,Education,99709,PKR,2026-03-28
paid travel fare this week,Travel,98199,PKR,2026-06-24
visited hospital today,Healthcare,23972,PKR,2026-06-20
went to amusement park for family,Entertainment,1137,PKR,2026-04-02
bought prescription medicine,Healthcare,502,PKR,2026-04-27
other payment online,Other,4650,PKR,2026-01-07
booked hotel for family,Travel,74260,PKR,2026-06-29
bought watch yesterday,Shopping,20562,PKR,2026-06-25
home repair yesterday,Home & Rent,135981,PKR,2026-04-16
paid apartment rent,Home & Rent,85458,PKR,2026-01-05
bought furniture,Home & Rent,86334,PKR,2026-06-23
paid loan installment for family,Bills & Payments,64009,PKR,2026-04-13
miscellaneous purchase,Other,11514,PKR,2026-04-20
paid online bill online,Bills & Payments,13666,PKR,2026-07-07
paid streaming subscription for family,Entertainment,3396,PKR,2026-07-02
filled petrol in car today,Transportation,8258,PKR,2026-07-23
paid water bill online,Utilities,18481,PKR,2026-08-12
paid loan installment yesterday,Bills & Payments,15662,PKR,2026-05-04
paid maintenance charges today,Home & Rent,64794,PKR,2026-02-24
filled fuel,Transportation,7225,PKR,2026-07-03
bought bread this week,Food & Groceries,14888,PKR,2026-04-09
paid school fee online,Education,34267,PKR,2026-06-20
paid online bill,Bills & Payments,87725,PKR,2026-02-04
bought personal care items online,Personal Care,8260,PKR,2026-01-24
general expense today,Other,18973,PKR,2026-07-16
booked hotel online,Travel,90974,PKR,2026-04-07
other payment online,Other,18512,PKR,2026-08-08
paid gaming subscription today,Entertainment,3862,PKR,2026-03-08
paid water bill,Utilities,4149,PKR,2026-01-23
dental checkup for family,Healthcare,12631,PKR,2026-07-10
paid utility bill this week,Utilities,4675,PKR,2026-08-07
bought vitamins for family,Healthcare,48594,PKR,2026-01-01
paid university fee for family,Education,70702,PKR,2026-02-18
went to amusement park this week,Entertainment,12836,PKR,2026-04-04
home repair today,Home & Rent,137249,PKR,2026-06-19
booked bus ticket today,Travel,28940,PKR,2026-04-12
bought snacks this week,Food & Groceries,2470,PKR,2026-07-28
paid school fee yesterday,Education,89626,PKR,2026-04-27
booked ride today,Transportation,12339,PKR,2026-06-20
miscellaneous expense for family,Other,10590,PKR,2026-03-21
bought personal care items,Personal Care,4680,PKR,2026-08-06
miscellaneous purchase yesterday,Other,7168,PKR,2026-05-07
bought educational material,Education,44165,PKR,2026-02-09
paid miscellaneous charges online,Other,7475,PKR,2026-06-29
miscellaneous expense today,Other,16074,PKR,2026-07-06
paid streaming subscription online,Entertainment,14102,PKR,2026-02-10
pizza for dinner this week,Food & Groceries,7021,PKR,2026-06-23
paid bank charges yesterday,Bills & Payments,51757,PKR,2026-01-19
bought personal care items this week,Personal Care,4826,PKR,2026-06-28
bought household items yesterday,Shopping,3488,PKR,2026-02-03
bought prescription medicine for family,Healthcare,3847,PKR,2026-08-06
general expense yesterday,Other,5463,PKR,2026-05-28
changed car oil online,Transportation,8004,PKR,2026-03-16
paid taxi fare today,Transportation,13278,PKR,2026-07-11
bought new shoes this week,Shopping,24088,PKR,2026-08-08
booked hotel online,Travel,39693,PKR,2026-04-07
played games today,Entertainment,1122,PKR,2026-01-25
bought vitamins today,Healthcare,3738,PKR,2026-01-31
bought personal care items this week,Personal Care,9922,PKR,2026-04-22
car maintenance today,Transportation,656,PKR,2026-01-31
bought cosmetics yesterday,Shopping,10218,PKR,2026-06-26
booked flight online,Travel,99401,PKR,2026-07-18
miscellaneous expense yesterday,Other,12620,PKR,2026-03-12
bought cleaning supplies yesterday,Home & Rent,97291,PKR,2026-01-03
paid electricity bill,Utilities,4499,PKR,2026-05-06
bought cleaning supplies for family,Home & Rent,59965,PKR,2026-01-06
booked bus ticket for family,Travel,126697,PKR,2026-03-12
miscellaneous expense for family,Other,6034,PKR,2026-04-09
paid online bill online,Bills & Payments,57340,PKR,2026-03-18
booked flight,Travel,86256,PKR,2026-01-17
miscellaneous purchase today,Other,13381,PKR,2026-07-28
miscellaneous expense yesterday,Other,18320,PKR,2026-07-29
